"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Federated Learning for Robust Computer Vision in Intelligent Transportation Systems","S. Chuprov; K. M. Bhatt; L. Reznik","Rochester Institute of Technology, Rochester, NY, USA; Rochester Institute of Technology, Rochester, NY, USA; Rochester Institute of Technology, Rochester, NY, USA",2023 IEEE Conference on Artificial Intelligence (CAI),"2 Aug 2023","2023","","","26","27","We study Federated Learning (FL) as the promising technology to design the computer vision Machine Learning-based applications, which are robust to possible Data Quality (DQ) degradation in real Intelligent Transportation Systems (ITSs). As ITSs are composed of diverse data generation and communication units, DQ of images they produce and use may vary dramatically. We study the images of various quality distributed over the local clients and perform iterative FL training with two distinct aggregation strategies: Federated Averaging (FedAvg) and Geometric Median (GM). We consequently evaluate the models cross-trained over a single DQ cohort against other DQ categories. Then we analyze the image (traffic signs) recognition performance and its robustness toward the DQ degradation for each training cohort and aggregation strategy. Based on the results, we provide our recommendations on how to train more robust FL-based computer vision applications for ITSs.","","979-8-3503-3984-0","10.1109/CAI54212.2023.00019","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10195053","Federated learning;data quality;computer vision","Training;Degradation;Computer vision;Federated learning;Computational modeling;Training data;Robustness","","4","","5","IEEE","2 Aug 2023","5-6 June 2023","5-6 June 2023","IEEE","IEEE Conferences"
"Federated Learning in Computer Vision","D. Shenaj; G. Rizzoli; P. Zanuttigh","Department of Information Engineering, University of Padova, Padua, Italy; Department of Information Engineering, University of Padova, Padua, Italy; Department of Information Engineering, University of Padova, Padua, Italy",IEEE Access,"8 Sep 2023","2023","11","","94863","94884","Federated Learning (FL) has recently emerged as a novel machine learning paradigm allowing to preserve privacy and to account for the distributed nature of the learning process in many real-world settings. Computer vision tasks deal with huge datasets often with critical privacy issues, therefore many federated learning approaches have been presented to exploit its distributed and privacy-preserving nature. Firstly, this paper introduces the different FL settings used in computer vision and the main challenges that need to be tackled. Then, it provides a comprehensive overview of the different strategies used for FL in vision applications and presents several different approaches for image classification, object detection, semantic segmentation and for focused settings in face recognition and medical imaging. For the various approaches the considered FL setting, the employed data and methodologies and the achieved results are thoroughly discussed.","2169-3536","","10.1109/ACCESS.2023.3310400","European Union through the Italian National Recovery and Resilience Plan (NRRP) of NextGenerationEU partnership on “Telecommunications of the Future” (Program “RESTART”)(grant numbers:PE0000001); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10234425","Federated learning;computer vision;scene understanding;survey","Servers;Training;Federated learning;Task analysis;Data models;Computer vision;Adaptation models;Image analysis;Surveys","","29","","276","CCBYNCND","30 Aug 2023","2023","","IEEE","IEEE Journals"
"Federated Deep Learning for Automated Detection of Diabetic Retinopathy","N. Z. Abidin; A. Ritahani Ismail","Department of Computer Science, Kuliyyah of Information and Communication Technology, International Islamic University Malaysia, Kuala Lumpur, Malaysia; Department of Computer Science, Kuliyyah of Information and Communication Technology, International Islamic University Malaysia, Kuala Lumpur, Malaysia","2022 IEEE 8th International Conference on Computing, Engineering and Design (ICCED)","13 Jan 2023","2022","","","1","5","Diabetic retinopathy (DR) is a primary cause of impaired vision that can lead to permanent blindness if not detected and treated early. Unfortunately, DR frequently has no early warning signs and may not generate any symptoms. According to recent figures, over 382 million people worldwide suffer from DR, with the number expected to climb to 592 million by 2030. Patients with DR may not be treated in time given the apparent large number of DR patients and inadequate medical resources in specific places, resulting in missed treatment possibilities and eventually irreversible vision loss. Color fundus diagnosis requires highly experienced experts to recognize the existence of tiny features and the relevance of DR. Unfortunately, manually diagnosing DR is time-consuming, tedious and error-prone. At the same time, the effect of manual interpretation is highly dependent on the medical expert experiences. Deep learning is a machine learning algorithm with potential for detecting the significance of DR. However, deep learning still suffers from high computational cost, requires tons of training data, over fitting, and non-trivial hyper parameter tuning. Thus, in order to build a model that can compete with medical experts, deep learning algorithms must feed a huge number of instances or pool data from other institutions. Federated learning allows deep learning algorithms to learn from a diverse set of data stored in multiple databases. Federated learning is a novel method for training deep learning models on local DR patient data, with just model parameters exchanged between medical facilities. The objectives of this research is to avoid the requirement sharing DR patient data, since such approaches expedite the development of deep learning models through the use of federated learning. Primarily, we propose a federated learning which decentralizes deep learning by eliminating the need to pool data in a single location. In this research, we present a practical method for the federated learning of deep network based on retinal image of diabetic retinopathy.","2767-7826","978-1-6654-5389-9","10.1109/ICCED56140.2022.10010636","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10010636","federated learning;deep learning;automated detection;diabetic retinopathy","Deep learning;Machine learning algorithms;Federated learning;Retinopathy;Computational modeling;Predictive models;Data models","","12","","30","IEEE","13 Jan 2023","28-29 July 2022","28-29 July 2022","IEEE","IEEE Conferences"
"Proof-of-Federated-Learning-Subchain: Free Partner Selection Subchain Based on Federated Learning","B. Li; B. Shen; Q. Lu; T. Jung; Y. Shi","Department of Computer Science and Engineering, University of Notre Dame, Notre Dame, Indiana, U.S; Department of Computer Science and Engineering, University of Notre Dame, Notre Dame, Indiana, U.S; Department of Computer Science and Engineering, University of Notre Dame, Notre Dame, Indiana, U.S; Department of Computer Science and Engineering, University of Notre Dame, Notre Dame, Indiana, U.S; Department of Computer Science and Engineering, University of Notre Dame, Notre Dame, Indiana, U.S",2023 Fifth International Conference on Blockchain Computing and Applications (BCCA),"11 Dec 2023","2023","","","600","605","The continuous thriving of the Blockchain society motivates research in novel designs of schemes supporting cryptocurrencies. Previously multiple Proof-of-Deep-Learning(PoDL) consensuses have been proposed to replace hashing with useful work such as deep learning model training tasks. The energy will be more efficiently used while maintaining the ledger. However deep learning models are problem-specific and can be extremely complex. Current PoDL consensuses still require much work to realize in the real world. In this paper, we proposed a novel consensus named Proof-of-Federated-Learning-Subchain(PoFLSC) to fill the gap. We applied a subchain to record the training, challenging, and auditing activities and emphasized the importance of valuable datasets in partner selection. We simulated 20 miners in the subchain to demonstrate the effectiveness of PoFLSC. When we reduce the pool size concerning the reservation priority order, the drop rate difference in the performance in different scenarios further exhibits that the miner with a higher Shapley Value (SV) will gain a better opportunity to be selected when the size of the subchain pool is limited. In the conducted experiments, the PoFLSC consensus supported the subchain manager to be aware of reservation priority and the core partition of contributors to establish and maintain a competitive subchain.","","979-8-3503-3923-9","10.1109/BCCA58897.2023.10338941","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10338941","Novel Consensus;Blockchain;Proof-of-Deep-Learning;FLChain;Federated Learning;Deep Learning","Training;Deep learning;Federated learning;Blockchains;Cryptocurrency;Task analysis","","","","18","IEEE","11 Dec 2023","24-26 Oct. 2023","24-26 Oct. 2023","IEEE","IEEE Conferences"
"Efficient Federated Learning Method for Cloud-Edge Network Communication","J. Duan; J. Duan; X. Wan; Y. Li","Information Center, State Grid Shanxi Electric Power Company Information and Communication Branch, TaiYuan, China; Information Center, State Grid Shanxi Electric Power Company Information and Communication Branch, TaiYuan, China; Information Center, State Grid Shanxi Electric Power Company Information and Communication Branch, TaiYuan, China; Information Center, State Grid Shanxi Electric Power Company Information and Communication Branch, TaiYuan, China","2023 5th International Conference on Communications, Information System and Computer Engineering (CISCE)","12 Jun 2023","2023","","","118","121","Traditional federated learning (FL) decomposes the server's training tasks to the client for parallel learning, which increases the computational burden on the client and increases the communication overhead for model exchange between the server and the client. Although split federated learning divides the model and trains it on the client and server respectively, the computational pressure of client training is reduced, but the intermediate features and gradient information between the client and the server introduce additional communication costs. At the same time, if the number of clients is too large, the calculation pressure of the server-side parallel training model will also increase greatly. In this paper, we propose a split federated learning method based on client-side clustering, which reduces the additional communication between the client and the server by clustering the client according to the data distribution and compressing the activation vector of the split layer by vector quantization. It can also reduce the computing overhead of the server. The experimental results show that the method proposed in this paper can reduce the communication cost by 51.2% and the training time by 33.3% while maintaining the same accuracy.","2833-2423","979-8-3503-2679-6","10.1109/CISCE58541.2023.10142819","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10142819","Federated Learning;Split learning;Vector quantization;Client clustering","Training;Costs;Federated learning;Vector quantization;Computational modeling;Clustering algorithms;Data models","","2","","10","IEEE","12 Jun 2023","14-16 April 2023","14-16 April 2023","IEEE","IEEE Conferences"
"FedRCIL: Federated Knowledge Distillation for Representation based Contrastive Incremental Learning","A. Psaltis; C. Chatzikonstantinou; C. Z. Patrikakis; P. Daras","Centre for Research and Technology Hellas, Thessaloniki, Greece; Centre for Research and Technology Hellas, Thessaloniki, Greece; Dept. of Electrical and Electronics Engineering, University of West Attica, Athens, Greece; Centre for Research and Technology Hellas, Thessaloniki, Greece",2023 IEEE/CVF International Conference on Computer Vision Workshops (ICCVW),"25 Dec 2023","2023","","","3455","3464","The present work proposes a holistic approach to address catastrophic forgetting in the field of computer vision during the process of incremental learning. More specifically, it suggests a series of steps for effective learning of models in distributed environments, based on extracting meaningful representations, modeling them into actual knowledge, and transferring it through a continual distillation mechanism. Additionally, it introduces a federated learning algorithm tailored to the problem, eliminating the need for central model transfer, by proposing an approach based on multi-scale representation learning, coupled with a Knowledge Distillation technique. Finally, inspired by the current trend, it modifies a contrastive learning technique combining existing knowledge with previous states, aiming to preserve previously learned knowledge while incorporating new knowledge. Thorough experimentation has been conducted to provide a comprehensive analysis of the issue at hand, highlighting the great potential of the proposed method, achieving great results in a federated environment with reduced communication cost and a robust performance within highly distributed incremental scenarios.","2473-9944","979-8-3503-0744-3","10.1109/ICCVW60793.2023.00371","European Commission; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10350898","Incremental Learning;Knowledge Distillation;Federated Learning","Representation learning;Computer vision;Costs;Federated learning;Computational modeling;Conferences;Market research","","10","","40","IEEE","25 Dec 2023","2-6 Oct. 2023","2-6 Oct. 2023","IEEE","IEEE Conferences"
"Correcting Noisy Labels During the Classification of Hyperspectral Images","A. Q. Wei; B. Peng Fu","School of Computer Science and Engineering, Nanjing University of Science and Technology A-B; School of Computer Science and Engineering, Nanjing University of Science and Technology A-B",IGARSS 2023 - 2023 IEEE International Geoscience and Remote Sensing Symposium,"20 Oct 2023","2023","","","7230","7233","Classification is the basis of many remote sensing applications, however noise labeling largely affects the effectiveness of classifiers. To deal with this problem, this paper proposes a deep framework called Discerning Coteaching with Label Correction and Dropout(DCLCD), which can autonomously identify and correct noisy labels without additional prior knowledge. In detail, DCLCD uses a voting mechanism to ensure labels are accurately corrected after separating noisy labels. Furthermore, a dropout-like mechanism is included in both sample selection and label correction to enhance the robustness of the model. We validate the method on Salinas Valley and Pavia University, and the results reveal that DCLCD can reduce the proportion of noisy labels and improve classification accuracy while providing greater stability.","2153-7003","979-8-3503-2010-7","10.1109/IGARSS52108.2023.10281960","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10281960","Deep Learning;Noisy Labels;Co-teaching;Label Correction","Robustness;Stability analysis;Noise measurement;Labeling;Hyperspectral imaging;Image classification","","","","13","IEEE","20 Oct 2023","16-21 July 2023","16-21 July 2023","IEEE","IEEE Conferences"
"Reliable and Interpretable Personalized Federated Learning","Z. Qin; L. Yang; Q. Wang; Y. Han; Q. Hu","Tianjin Key Lab of Machine Learning, College of Intelligence and Computing, Tianjin University, Tianjin, China; Tianjin Key Lab of Machine Learning, College of Intelligence and Computing, Tianjin University, Tianjin, China; Tianjin Key Lab of Machine Learning, College of Intelligence and Computing, Tianjin University, Tianjin, China; Tianjin Key Lab of Machine Learning, College of Intelligence and Computing, Tianjin University, Tianjin, China; Tianjin Key Lab of Machine Learning, College of Intelligence and Computing, Tianjin University, Tianjin, China",2023 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),"22 Aug 2023","2023","","","20422","20431","Federated learning can coordinate multiple users to participate in data training while ensuring data privacy. The collaboration of multiple agents allows for a natural connection between federated learning and collective intelligence. When there are large differences in data distribution among clients, it is crucial for federated learning to design a reliable client selection strategy and an interpretable client communication framework to better utilize group knowledge. Herein, a reliable personalized federated learning approach, termed RIPFL, is proposed and fully interpreted from the perspective of social learning. RIPFL reliably selects and divides the clients involved in training such that each client can use different amounts of social information and more effectively communicate with other clients. Simultaneously, the method effectively integrates personal information with the social information generated by the global model from the perspective of Bayesian decision rules and evidence theory, enabling individuals to grow better with the help of collective wisdom. An interpretable federated learning mind is well scalable, and the experimental results indicate that the proposed method has superior robustness and accuracy than other state-of-the-art federated learning algorithms.","2575-7075","979-8-3503-0129-8","10.1109/CVPR52729.2023.01956","National Natural Science Foundation of China(grant numbers:62076179,61925602,62276186); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10204293","Machine learning (other than deep learning)","Training;Federated learning;Collaboration;Collective intelligence;Reliability theory;Reliability engineering;Robustness","","26","","40","IEEE","22 Aug 2023","17-24 June 2023","17-24 June 2023","IEEE","IEEE Conferences"
"Privacy-Preserving Video Understanding via Transformer-based Federated Learning","K. Doshi; Y. Yilmaz","Department of Electrical Engineering, University of South Florida, Tampa, Florida, USA; Department of Electrical Engineering, University of South Florida, Tampa, Florida, USA",2023 IEEE Conference on Dependable and Secure Computing (DSC),"15 Dec 2023","2023","","","1","8","Video understanding has been an active area of research over the past several years, which is dominated by deep neural networks like image understanding and other computer vision tasks. In real-world implementations, even after pre-training on large datasets, state-of-the-art deep neural networks for video understanding tasks, such as anomaly detection and action recognition, can greatly benefit from diverse training data from multiple sources to adapt to the specific application. However, sharing videos collected by multiple sources with a central unit may not be feasible in practice due to privacy and communication constraints. Federated Learning (FL),which allows data parties to collaborate on machine learning models while preserving data privacy and reducing communication requirements, can be used to overcome these challenges. Despite significant progress on various computer vision tasks, FL for video understanding tasks has been largely unexplored. To this end, we propose a novel transformer-based approach for video anomaly detection and action recognition, and extensively benchmark the model performance in FL setting. Our results indicate that the proposed approach outperforms all existing state-of-the-art approaches under the centralized (non-FL) setting and performs competitively under the FL setting.","","979-8-3503-8211-2","10.1109/DSC61021.2023.10354099","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10354099","privacy-preserving machine learning;federated learning;video anomaly detection;action recognition;video transformer","Computer vision;Visualization;Federated learning;Computational modeling;Training data;Artificial neural networks;Transformers","","10","","43","IEEE","15 Dec 2023","7-9 Nov. 2023","7-9 Nov. 2023","IEEE","IEEE Conferences"
"Satellite Image Segmentation Using Federated Learning: A Privacy Preserving Approach","S. S; S. Palaniswamy","Department of Computer Science & Engineering, Amrita School of Computing, Bengaluru Amrita Vishwa Vidyapeetham, India; Department of Computer Science & Engineering, Amrita School of Computing, Bengaluru Amrita Vishwa Vidyapeetham, India",2023 7th International Conference on Computation System and Information Technology for Sustainable Solutions (CSITSS),"7 Dec 2023","2023","","","1","6","Satellite images are images captured by satellites orbiting the Earth. They provide valuable information about the Earth's surface, including land cover, vegetation, urban areas, and more. Image segmentation is particularly useful when analysing satellite images because it allows researchers and analysts to extract meaningful information from the images. By segmenting the image into different regions, it becomes easier to identify and classify various features such as buildings, roads, water bodies, forests, and agricultural land. Satellite images can raise privacy concerns due to their ability to capture detailed information about the Earth's surface, including private properties, sensitive locations, and personal activities. In this paper, a federated learning approach is incorporated to perform semantic image segmentation tasks on satellite images. This would attempt in overcoming the privacy issue and reducing the communication load without compromising the overall performance of the model. The results obtained show that the federated learning approach is performing better than the conventional deep learning approach with a loss value of 0.0503 and 0.255 on two different datasets.","","979-8-3503-4314-4","10.1109/CSITSS60515.2023.10334113","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10334113","Image Segmentation;Federated Learning;Computer Vision;Deep Learning","Earth;Image segmentation;Privacy;Satellites;Federated learning;Urban areas;Semantics","","6","","18","IEEE","7 Dec 2023","2-4 Nov. 2023","2-4 Nov. 2023","IEEE","IEEE Conferences"
