"paper_id","topic_id","topic_title","title","authors","year","venue","citation_count","decision_label","relevance_score","decision_method","source_api","external_id","url","pdf_url","pdf_downloaded","pdf_path","parsed","abstract_preview"
"1","1","Federated Learning under Concept Drift: A Unified Perspective on Drift-Aware Learning in Distributed Non-Stationary Environments","FedDAA: Dynamic Client Clustering for Concept Drift Adaptation in Federated Learning","Fu Peng; Ming Tang","2025","arXiv.org","4","direct","1.0","llm","semantic_scholar","cd27313a04cb2480582fe54eb2f80c894c4e6a62","https://www.semanticscholar.org/paper/cd27313a04cb2480582fe54eb2f80c894c4e6a62","https://arxiv.org/pdf/2506.21054","yes","storage\pdfs\topic_1\paper_1.pdf","yes","In federated learning (FL), the data distribution of each client may change over time, introducing both temporal and spa"
"2","1","Federated Learning under Concept Drift: A Unified Perspective on Drift-Aware Learning in Distributed Non-Stationary Environments","Federated Learning Under Concept Drift: A Systematic Survey of Foundations, Innovations, and Future Research Directions","Osamah A. Mahdi; Eric Pardede; S. Bevinakoppa; Nawfal Ali","2025","Electronics","2","direct","1.0","llm","semantic_scholar","12feb11afa7201c32c7603be98e28fa8aed267e5","https://www.semanticscholar.org/paper/12feb11afa7201c32c7603be98e28fa8aed267e5","","no","","yes","Federated Learning (FL) is revolutionizing Machine Learning (ML) by enabling devices in different locations to collabora"
"3","1","Federated Learning under Concept Drift: A Unified Perspective on Drift-Aware Learning in Distributed Non-Stationary Environments","An Information-Theoretic Analysis for Federated Learning Under Concept Drift","Fu Peng; Mengmeng Zhang; Ming Tang","2025","IEEE Transactions on Network Science and Engineering","2","direct","1.0","llm","semantic_scholar","60597ade0ecf8db06f764c0e53754daf103d6c55","https://www.semanticscholar.org/paper/60597ade0ecf8db06f764c0e53754daf103d6c55","https://arxiv.org/pdf/2506.21036","yes","storage\pdfs\topic_1\paper_3.pdf","yes","Recent studies in federated learning (FL) commonly train models on static datasets. However, real-world data often arriv"
"4","1","Federated Learning under Concept Drift: A Unified Perspective on Drift-Aware Learning in Distributed Non-Stationary Environments","Detect, Adapt, Overcome: Mitigating Concept Drift in Federated Learning","Iftekhar Rahman; Nisal Hemadasa; Dominik Kaaser; Pierre-Alexandre Murena; Stefan Schulte","2025","2025 3rd International Conference on Federated Learning Technologies and Applications (FLTA)","1","direct","1.0","llm","semantic_scholar","bcc2bc19add28d28926163a5e8012cd2c8214b25","https://www.semanticscholar.org/paper/bcc2bc19add28d28926163a5e8012cd2c8214b25","","no","","yes","Federated Learning (FL) is a distributed machine learning paradigm where a central server coordinates the training of a "
"5","1","Federated Learning under Concept Drift: A Unified Perspective on Drift-Aware Learning in Distributed Non-Stationary Environments","Hierarchical Bidirectional Aggregation for Federated Learning Under Concept Drift","Nisal Hemadasa; Dominik Kaaser; Stefan Schulte","2025","International Conference on Fog and Mobile Edge Computing","1","direct","0.95","llm","semantic_scholar","99284b55900847107a0538118a011bd59af14b03","https://www.semanticscholar.org/paper/99284b55900847107a0538118a011bd59af14b03","","no","","yes","Federated Learning (FL) enables collaborative model training across decentralized clients while preserving data privacy."
"6","1","Federated Learning under Concept Drift: A Unified Perspective on Drift-Aware Learning in Distributed Non-Stationary Environments","Online Transient Stability Assessment Under Concept Drift: An ARF-Method-Assisted Federated Learning for Data Streams","M. Massaoudi; Maymouna Ez Eddin; Haitham Abu-Rub; Ali Ghrayeb; Katherine R. Davis","2025","IEEE Internet of Things Journal","0","exclude","0.0","rule","semantic_scholar","cb37a0ebf7637143b0fb375cc61778172d2700b8","https://www.semanticscholar.org/paper/cb37a0ebf7637143b0fb375cc61778172d2700b8","","no","","no",""
"7","1","Federated Learning under Concept Drift: A Unified Perspective on Drift-Aware Learning in Distributed Non-Stationary Environments","Adaptive Federated Learning for Robust PV Power Forecasting Under Weather-Induced Concept Drift","Hamed Moayyed; H. Abdeltawab; Luis Gomes; Z. Vale","2025","IEEE Access","0","direct","0.95","llm","semantic_scholar","b6964f2127a32c1ea0a956c1460cb8dfc8b16aa5","https://www.semanticscholar.org/paper/b6964f2127a32c1ea0a956c1460cb8dfc8b16aa5","","no","","yes","Photovoltaic (PV) power forecasting is vital for renewable energy integration but remains vulnerable to concept drift ca"
"8","1","Federated Learning under Concept Drift: A Unified Perspective on Drift-Aware Learning in Distributed Non-Stationary Environments","FL-MalDrift: a federated learning framework for malware detection under local concept drift","Amit Patel; Deepak Singh Tomar; R. Pateriya; Rahul Haripriya","2025","Scientific Reports","0","direct","0.95","llm","semantic_scholar","9005b888a7ede49671687bc73a6bb5f82c95c27e","https://www.semanticscholar.org/paper/9005b888a7ede49671687bc73a6bb5f82c95c27e","","no","","yes","Android malware evolves continuously, inducing concept drift that erodes the accuracy of learned detectors a challenge i"
"9","1","Federated Learning under Concept Drift: A Unified Perspective on Drift-Aware Learning in Distributed Non-Stationary Environments","FedRecSys: A Federated Learning-Based Recommender System for Concept Drift Adaptation","Anagha Chaudhari; Hitham Alhussian; R. Raut; A. Sarlan","2025","IEEE Access","0","direct","0.9","llm","semantic_scholar","df9f1bc4493a603c8b1bc0a1b399826b637bd937","https://www.semanticscholar.org/paper/df9f1bc4493a603c8b1bc0a1b399826b637bd937","","no","","yes","A new field called deep learning can be used to handle large amounts of multidimensional data in different e-commerce pl"
"10","1","Federated Learning under Concept Drift: A Unified Perspective on Drift-Aware Learning in Distributed Non-Stationary Environments","Concept Drift Aware Hierarchical Aggregation for Personalised Federated Learning","George Aziz; Obaidullah Zaland; Sajib Mistry; Aneesh Krishna; Monowar Bhuyan","2025","BigData Congress [Services Society]","0","direct","1.0","llm","semantic_scholar","d2617573dcb5ac293ee1112f4f50d12ec33d382e","https://www.semanticscholar.org/paper/d2617573dcb5ac293ee1112f4f50d12ec33d382e","","no","","yes","The rise of big data distributed across heterogeneous and decentralised sources has driven the development of Federated "
