"paper_id","title","authors","year","venue","citation_count","decision_label","relevance_score","decision_method","source_api","external_id","url","pdf_url","pdf_downloaded","pdf_path","parsed","abstract_preview"
"945","FedELR: When federated learning meets learning with noisy labels","Ruizhi Pu; Lixing Yu; Shaojie Zhan; Gezheng Xu; Fan Zhou; C. Ling; Boyu Wang","2025","Neural Networks","10","exclude","0.0","llm","semantic_scholar","bc1ea54ab356ead8947b392c2713c2b89cd2ef91","https://www.semanticscholar.org/paper/bc1ea54ab356ead8947b392c2713c2b89cd2ef91","","no","","no","Existing research on federated learning (FL) usually assumes that training labels are of high quality for each client, w"
"946","Contrastive prototype federated learning against noisy labels in fetal standard plane detection","M. C. Fiorentino; Giovanna Migliorelli; Francesca Pia Villani; E. Frontoni; Sara Moccia","2025","International Journal of Computer Assisted Radiology and Surgery","7","exclude","0.0","llm","semantic_scholar","2110792908338fd89a7ff465306818cdf9d31eed","https://www.semanticscholar.org/paper/2110792908338fd89a7ff465306818cdf9d31eed","","no","","no","This study aims to improve federated learning (FL) for ultrasound fetal standard plane detection by addressing noisy lab"
"947","FNBench: Benchmarking Robust Federated Learning against Noisy Labels","Xue Jiang; Jia Li; Nannan Wu; Zhiyuan Wu; Xujing Li; Sheng Sun; Gang Xu; Yuwei Wang; Qi Li; Min Liu","2025","arXiv.org","8","direct","0.85","llm","semantic_scholar","4a8dbbfb3d928f74cf39cc40dd10242f8e0b6860","https://www.semanticscholar.org/paper/4a8dbbfb3d928f74cf39cc40dd10242f8e0b6860","https://arxiv.org/pdf/2505.06684","yes","storage\pdfs\topic_3\paper_947.pdf","yes","Robustness to label noise within data is a significant challenge in federated learning (FL). From the data-centric persp"
"948","FedEFC: Federated Learning Using Enhanced Forward Correction Against Noisy Labels","Seunghun Yu; Jinhyun Ahn; Joonhyuk Kang","2025","arXiv.org","1","exclude","0.0","llm","semantic_scholar","d570b742ccd750dc29d2ab567f5a802c076f63cc","https://www.semanticscholar.org/paper/d570b742ccd750dc29d2ab567f5a802c076f63cc","https://arxiv.org/pdf/2504.05615","no","","no","Federated Learning (FL) is a powerful framework for privacy-preserving distributed learning. It enables multiple clients"
"949","FedUNL: Utilizing Noisy Labels for Improved Robustness in Federated Learning","Cheng Chen; Zhou Tan; Ziyu Lin; Ximeng Liu","2025","IEEE International Conference on Systems, Man and Cybernetics","0","direct","0.85","llm","semantic_scholar","3c705a6502ed2c0165ae4c0e1ab568e094f95060","https://www.semanticscholar.org/paper/3c705a6502ed2c0165ae4c0e1ab568e094f95060","","no","","yes","With the growing significance of federated learning (FL) in preserving data privacy, addressing the challenge of noisy l"
"950","Weighted Cross-Entropy Based on Truncated Adaptive Gaussian Distribution for Federated Learning with Noisy Labels","Xiaonan Chen; Yongli Yang; Shiqiang Zhang; Yang Cao; Ji Li; Jiaqi Wei","2025","2025 International Conference on Advances in Electrical Engineering and Computer Applications (AEECA)","0","direct","0.75","llm","semantic_scholar","55ef4095fd564eac45ae27036497f84b17d333be","https://www.semanticscholar.org/paper/55ef4095fd564eac45ae27036497f84b17d333be","","no","","yes","Real-world datasets typically contain noisy labels. Moreover, in federated learning scenarios, client data often follows"
"951","RCC-PFL: Robust Client Clustering Under Noisy Labels in Personalized Federated Learning","Abdulmoneam Ali; Ahmed Arafa","2025","ICC 2025 - IEEE International Conference on Communications","1","direct","0.75","llm","semantic_scholar","eb03cdb512f9449a645e3c180dc35baceefed0b7","https://www.semanticscholar.org/paper/eb03cdb512f9449a645e3c180dc35baceefed0b7","https://arxiv.org/pdf/2503.19886","yes","storage\pdfs\topic_3\paper_951.pdf","yes","We address the problem of cluster identity estimation in a personalized federated learning (PFL) setting in which users "
"952","Overcoming Noisy Labels and Non-IID Data in Edge Federated Learning","Yang Xu; Yunming Liao; Lun Wang; Hong-Ze Xu; Zhida Jiang; Wuyang Zhang","2024","IEEE Transactions on Mobile Computing","22","direct","0.85","llm","semantic_scholar","e864ef40b7ca6bc3cf705207bc2173047e45991b","https://www.semanticscholar.org/paper/e864ef40b7ca6bc3cf705207bc2173047e45991b","","no","","yes","Federated learning (FL) enables edge devices to cooperatively train models without exposing their raw data. However, imp"
"953","Distributionally Robust Federated Learning for Network Traffic Classification With Noisy Labels","Siping Shi; Yingya Guo; Dan Wang; Yifei Zhu; Zhu Han","2024","IEEE Transactions on Mobile Computing","14","adjacent","0.55","llm","semantic_scholar","7b0c5d9d8017c49bcaa38089eaf1963240d838f6","https://www.semanticscholar.org/paper/7b0c5d9d8017c49bcaa38089eaf1963240d838f6","","no","","yes","Network traffic classifiers of mobile devices are widely learned with federated learning(FL) for privacy preservation. N"
"954","Harnessing Feature Distribution Consistency for Federated Learning with Noisy Labels","Yali Ma; Baoyao Yang; Yanchao Tang; Weide Zhan; Wenyin Yang","2025","International Conference on Information Photonics","1","exclude","0.0","rule","semantic_scholar","0bc43495db625847559114de8684264a12f63204","https://www.semanticscholar.org/paper/0bc43495db625847559114de8684264a12f63204","","no","","no",""
